expiration_date,strike,iv
03/15/2019,2365,0.2806
03/15/2019,2370,0.2786
03/15/2019,2375,0.2765
03/15/2019,2380,0.2744
03/15/2019,2385,0.2717
03/15/2019,2390,0.27
03/15/2019,2395,0.2678
03/15/2019,2400,0.2654
03/15/2019,2405,0.2635
03/15/2019,2410,0.2613
03/15/2019,2415,0.2594
03/15/2019,2420,0.2568
03/15/2019,2425,0.2552
03/15/2019,2430,0.2533
03/15/2019,2435,0.2511
03/15/2019,2440,0.2494
03/15/2019,2445,0.2466
03/15/2019,2450,0.2446
03/15/2019,2455,0.2429
03/15/2019,2460,0.2407
03/15/2019,2465,0.2388
03/15/2019,2470,0.2366
03/15/2019,2475,0.235
03/15/2019,2480,0.2326
03/15/2019,2485,0.2316
03/15/2019,2490,0.2284
03/15/2019,2495,0.2273
03/15/2019,2500,0.2253
03/15/2019,2505,0.223
03/15/2019,2510,0.2202
03/15/2019,2515,0.2182
03/15/2019,2520,0.2168
03/15/2019,2525,0.2143
03/15/2019,2530,0.2128
03/15/2019,2535,0.211
03/15/2019,2540,0.2085
03/15/2019,2545,0.2064
03/15/2019,2550,0.2044
03/15/2019,2555,0.203
03/15/2019,2560,0.2009
03/15/2019,2565,0.1988
03/15/2019,2570,0.1966
03/15/2019,2575,0.1952
03/15/2019,2580,0.1932
03/15/2019,2585,0.1912
03/15/2019,2590,0.1894
03/15/2019,2595,0.1875
03/15/2019,2600,0.1859
03/15/2019,2605,0.1836
03/15/2019,2610,0.1818
03/15/2019,2615,0.18
03/15/2019,2620,0.1782
03/15/2019,2625,0.1765
03/15/2019,2630,0.175
03/15/2019,2635,0.1728
03/15/2019,2640,0.171
03/15/2019,2645,0.1709
03/15/2019,2650,0.1672
03/15/2019,2655,0.1652
03/15/2019,2660,0.1639
03/15/2019,2665,0.1617
03/15/2019,2670,0.1601
03/15/2019,2675,0.1581
03/15/2019,2680,0.1565
03/15/2019,2685,0.1547
03/15/2019,2690,0.1529
03/15/2019,2695,0.151
03/15/2019,2700,0.1494
03/15/2019,2705,0.1477
03/15/2019,2710,0.1459
03/15/2019,2715,0.144
03/15/2019,2720,0.1427
03/15/2019,2725,0.1408
03/15/2019,2730,0.1392
03/15/2019,2735,0.1375
03/15/2019,2740,0.1365
03/15/2019,2745,0.1338
03/15/2019,2750,0.1327
03/15/2019,2755,0.1311
03/15/2019,2760,0.1297
03/15/2019,2765,0.1282
06/21/2019,2225,0.2464
06/21/2019,2250,0.2419
06/21/2019,2275,0.2371
06/21/2019,2300,0.2324
06/21/2019,2325,0.2278
06/21/2019,2350,0.2231
06/21/2019,2375,0.2186
06/21/2019,2400,0.2142
06/21/2019,2425,0.2095
06/21/2019,2450,0.2048
06/21/2019,2475,0.2001
06/21/2019,2500,0.1955
06/21/2019,2525,0.1909
06/21/2019,2550,0.1863
06/21/2019,2575,0.1817
06/21/2019,2600,0.1769
06/21/2019,2625,0.1721
06/21/2019,2650,0.1676
06/21/2019,2675,0.1627
06/21/2019,2700,0.1583
06/21/2019,2725,0.1533
06/21/2019,2750,0.1488
09/20/2019,2225,0.2317
09/20/2019,2250,0.2282
09/20/2019,2275,0.2246
09/20/2019,2300,0.2211
09/20/2019,2325,0.2177
09/20/2019,2350,0.2142
09/20/2019,2375,0.2104
09/20/2019,2400,0.2068
09/20/2019,2425,0.2034
09/20/2019,2450,0.1995
09/20/2019,2475,0.1962
09/20/2019,2500,0.1925
09/20/2019,2525,0.1889
09/20/2019,2550,0.1852
09/20/2019,2575,0.1816
09/20/2019,2600,0.1779
09/20/2019,2625,0.1742
09/20/2019,2650,0.1704
09/20/2019,2675,0.1666
09/20/2019,2700,0.1627
09/20/2019,2725,0.1587
09/20/2019,2750,0.1547
12/20/2019,2225,0.224
12/20/2019,2250,0.2209
12/20/2019,2275,0.2179
12/20/2019,2300,0.2147
12/20/2019,2325,0.2118
12/20/2019,2350,0.2089
12/20/2019,2375,0.2057
12/20/2019,2400,0.2028
12/20/2019,2425,0.1998
12/20/2019,2450,0.1969
12/20/2019,2475,0.1938
12/20/2019,2500,0.1905
12/20/2019,2525,0.1876
12/20/2019,2550,0.1842
12/20/2019,2575,0.1813
12/20/2019,2600,0.1781
12/20/2019,2625,0.1749
12/20/2019,2650,0.1716
12/20/2019,2675,0.168
12/20/2019,2700,0.1648
12/20/2019,2725,0.1615
12/20/2019,2750,0.1581
